idx	op_type	name	inputs	outputs
0	Gather	/sentence_encoder/text_embedder/char_embedder/Gather	['tts.dp.sentence_encoder.text_embedder.char_embedder.weight', 'text_ids']	['/sentence_encoder/text_embedder/char_embedder/Gather_output_0']
1	Shape	/predictor/Shape_1	['style_dp']	['/predictor/Shape_1_output_0']
2	Slice	/sentence_encoder/Slice	['text_mask', '/sentence_encoder/Constant_7_output_0', '/sentence_encoder/Constant_8_output_0', '/sentence_encoder/Constant_6_output_0', '/sentence_encoder/Constant_8_output_0']	['/sentence_encoder/Slice_output_0']
3	Transpose	/sentence_encoder/text_embedder/Transpose	['/sentence_encoder/text_embedder/char_embedder/Gather_output_0']	['/sentence_encoder/text_embedder/Transpose_output_0']
4	Gather	/predictor/Gather_1	['/predictor/Shape_1_output_0', '/predictor/Constant_2_output_0']	['/predictor/Gather_1_output_0']
5	Shape	/sentence_encoder/Shape_2	['/sentence_encoder/Slice_output_0']	['/sentence_encoder/Shape_2_output_0']
6	Mul	/sentence_encoder/text_embedder/Mul	['/sentence_encoder/text_embedder/Transpose_output_0', 'text_mask']	['/sentence_encoder/text_embedder/Mul_output_0']
7	Unsqueeze	/predictor/Unsqueeze_1	['/predictor/Gather_1_output_0', '/sentence_encoder/Constant_7_output_0']	['/predictor/Unsqueeze_1_output_0']
8	ConstantOfShape	/sentence_encoder/ConstantOfShape_1	['/sentence_encoder/Shape_2_output_0']	['/sentence_encoder/ConstantOfShape_1_output_0']
9	Shape	/sentence_encoder/Shape	['/sentence_encoder/text_embedder/Mul_output_0']	['/sentence_encoder/Shape_output_0']
10	Concat	/predictor/Concat_1	['/predictor/Unsqueeze_1_output_0', '/predictor/Constant_3_output_0']	['/predictor/Concat_1_output_0']
11	Concat	/sentence_encoder/Concat_2	['/sentence_encoder/ConstantOfShape_1_output_0', 'text_mask']	['/sentence_encoder/Concat_2_output_0']
12	Gather	/sentence_encoder/Gather	['/sentence_encoder/Shape_output_0', '/predictor/Constant_2_output_0']	['/sentence_encoder/Gather_output_0']
13	Reshape	/predictor/Reshape_1	['style_dp', '/predictor/Concat_1_output_0']	['/predictor/Reshape_1_output_0']
14	Unsqueeze	/sentence_encoder/attn_encoder/Unsqueeze	['/sentence_encoder/Concat_2_output_0', '/sentence_encoder/Constant_6_output_0']	['/sentence_encoder/attn_encoder/Unsqueeze_output_0']
15	Unsqueeze	/sentence_encoder/attn_encoder/Unsqueeze_1	['/sentence_encoder/Concat_2_output_0', '/predictor/Constant_3_output_0']	['/sentence_encoder/attn_encoder/Unsqueeze_1_output_0']
16	Slice	/sentence_encoder/Slice_2	['/sentence_encoder/Concat_2_output_0', '/sentence_encoder/Constant_7_output_0', '/sentence_encoder/Constant_8_output_0', '/sentence_encoder/Constant_6_output_0', '/sentence_encoder/Constant_8_output_0']	['/sentence_encoder/Slice_2_output_0']
17	Unsqueeze	/sentence_encoder/Unsqueeze	['/sentence_encoder/Gather_output_0', '/sentence_encoder/Constant_7_output_0']	['/sentence_encoder/Unsqueeze_output_0']
18	Mul	/sentence_encoder/attn_encoder/Mul	['/sentence_encoder/attn_encoder/Unsqueeze_output_0', '/sentence_encoder/attn_encoder/Unsqueeze_1_output_0']	['/sentence_encoder/attn_encoder/Mul_output_0']
19	Concat	/sentence_encoder/Concat	['/sentence_encoder/Unsqueeze_output_0', '/predictor/Constant_3_output_0', '/predictor/Constant_3_output_0']	['/sentence_encoder/Reshape_output_0']
20	Equal	/sentence_encoder/attn_encoder/attn_layers.0/Equal	['/sentence_encoder/attn_encoder/Mul_output_0', '/sentence_encoder/attn_encoder/attn_layers.0/Constant_87_output_0']	['/sentence_encoder/attn_encoder/attn_layers.1/Cast_5_output_0']
21	Equal	/sentence_encoder/Equal	['/sentence_encoder/Reshape_output_0', '/sentence_encoder/Mul_output_0']	['/sentence_encoder/Equal_output_0']
22	Where	/sentence_encoder/Where	['/sentence_encoder/Equal_output_0', '/sentence_encoder/ConstantOfShape_output_0', '/sentence_encoder/Reshape_output_0']	['/sentence_encoder/Where_output_0']
23	Expand	/sentence_encoder/Expand	['tts.dp.sentence_encoder.sentence_token', '/sentence_encoder/Where_output_0']	['/sentence_encoder/Expand_output_0']
24	Concat	/sentence_encoder/Concat_1	['/sentence_encoder/Expand_output_0', '/sentence_encoder/text_embedder/Mul_output_0']	['/sentence_encoder/Concat_1_output_0']
25	Mul	/sentence_encoder/convnext/convnext.0/Mul	['/sentence_encoder/Concat_1_output_0', '/sentence_encoder/Concat_2_output_0']	['/sentence_encoder/convnext/convnext.0/Mul_output_0']
26	Pad	/sentence_encoder/convnext/convnext.0/dwconv/Pad	['/sentence_encoder/convnext/convnext.0/Mul_output_0', '/sentence_encoder/convnext/convnext.0/dwconv/Cast_output_0']	['/sentence_encoder/convnext/convnext.0/dwconv/Pad_output_0']
27	Conv	/sentence_encoder/convnext/convnext.0/dwconv/Conv	['/sentence_encoder/convnext/convnext.0/dwconv/Pad_output_0', 'tts.dp.sentence_encoder.convnext.convnext.0.dwconv.weight', 'tts.dp.sentence_encoder.convnext.convnext.0.dwconv.bias']	['/sentence_encoder/convnext/convnext.0/dwconv/Conv_output_0']
28	Mul	/sentence_encoder/convnext/convnext.0/Mul_1	['/sentence_encoder/convnext/convnext.0/dwconv/Conv_output_0', '/sentence_encoder/Concat_2_output_0']	['/sentence_encoder/convnext/convnext.0/Mul_1_output_0']
29	Transpose	/sentence_encoder/convnext/convnext.0/norm/Transpose	['/sentence_encoder/convnext/convnext.0/Mul_1_output_0']	['/sentence_encoder/convnext/convnext.0/norm/Transpose_output_0']
30	LayerNormalization	/sentence_encoder/convnext/convnext.0/norm/norm/LayerNormalization	['/sentence_encoder/convnext/convnext.0/norm/Transpose_output_0', 'tts.dp.sentence_encoder.convnext.convnext.0.norm.norm.weight', 'tts.dp.sentence_encoder.convnext.convnext.0.norm.norm.bias']	['/sentence_encoder/convnext/convnext.0/norm/norm/LayerNormalization_output_0']
31	Transpose	/sentence_encoder/convnext/convnext.0/norm/Transpose_1	['/sentence_encoder/convnext/convnext.0/norm/norm/LayerNormalization_output_0']	['/sentence_encoder/convnext/convnext.0/norm/Transpose_1_output_0']
32	Conv	/sentence_encoder/convnext/convnext.0/pwconv1/Conv	['/sentence_encoder/convnext/convnext.0/norm/Transpose_1_output_0', 'tts.dp.sentence_encoder.convnext.convnext.0.pwconv1.weight', 'tts.dp.sentence_encoder.convnext.convnext.0.pwconv1.bias']	['/sentence_encoder/convnext/convnext.0/pwconv1/Conv_output_0']
